DATAFLOW,LAST UPDATE,freq,emp_cont,yes_no,lev_satis,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,RO,2021,50.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,SE,2021,222.4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,SI,2021,56.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,SK,2021,33.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,AT,2021,91.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,BE,2021,113.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,BG,2021,,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,CH,2021,149.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,CY,2021,22.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,CZ,2021,67.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,DE,2021,553.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,DK,2021,81.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,EA20,2021,4212.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,EE,2021,2.4,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,EL,2021,64.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,ES,2021,1078,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,EU27_2020,2021,4834.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,FI,2021,82,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,FR,2021,826.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,HR,2021,47.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,HU,2021,36.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,IE,2021,55.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,IT,2021,749.4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,LT,2021,3.6,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,LU,2021,4.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,LV,2021,,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,MT,2021,4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,NL,2021,395.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,NO,2021,45.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,PL,2021,277,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,PT,2021,62.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,RO,2021,7.5,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,SE,2021,146.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,SI,2021,31.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,F,THS_PER,SK,2021,20.4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,AT,2021,89.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,BE,2021,92,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,BG,2021,6.4,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,CH,2021,174.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,CY,2021,9.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,CZ,2021,45.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-74,M,THS_PER,DE,2021,573.1,,
